[TRAIN_BEGIN] rows=24000 expected_steps~=1500 state.max_steps=1500 batch=4 grad_accum=4 epochs=1
[TRAIN_LOG] step=1030/1500 | epoch=0.6867 | elapsed=189.3m | eta=86.4m | steps_per_sec=0.0907 | loss=0.012938 | lr=2.37e-05 | grad_norm=0.2617
[TRAIN_LOG] step=1040/1500 | epoch=0.6933 | elapsed=191.1m | eta=84.5m | steps_per_sec=0.0907 | loss=0.011259 | lr=2.28e-05 | grad_norm=0.1377
[TRAIN_LOG] step=1050/1500 | epoch=0.7000 | elapsed=192.9m | eta=82.7m | steps_per_sec=0.0907 | loss=0.012805 | lr=2.19e-05 | grad_norm=0.2500
[TRAIN_LOG] step=1060/1500 | epoch=0.7067 | elapsed=194.7m | eta=80.8m | steps_per_sec=0.0907 | loss=0.011535 | lr=2.10e-05 | grad_norm=0.0996
[TRAIN_LOG] step=1070/1500 | epoch=0.7133 | elapsed=196.6m | eta=79.0m | steps_per_sec=0.0907 | loss=0.011726 | lr=2.01e-05 | grad_norm=0.2754
[TRAIN_LOG] step=1080/1500 | epoch=0.7200 | elapsed=198.4m | eta=77.2m | steps_per_sec=0.0907 | loss=0.013164 | lr=1.93e-05 | grad_norm=0.2002
[TRAIN_LOG] step=1090/1500 | epoch=0.7267 | elapsed=200.3m | eta=75.3m | steps_per_sec=0.0907 | loss=0.012150 | lr=1.84e-05 | grad_norm=0.1543
[TRAIN_LOG] step=1100/1500 | epoch=0.7333 | elapsed=202.1m | eta=73.5m | steps_per_sec=0.0907 | loss=0.010167 | lr=1.76e-05 | grad_norm=0.1621
[TRAIN_LOG] step=1110/1500 | epoch=0.7400 | elapsed=203.9m | eta=71.7m | steps_per_sec=0.0907 | loss=0.011511 | lr=1.68e-05 | grad_norm=0.2041
[TRAIN_LOG] step=1120/1500 | epoch=0.7467 | elapsed=205.8m | eta=69.8m | steps_per_sec=0.0907 | loss=0.011916 | lr=1.60e-05 | grad_norm=0.1748
[TRAIN_LOG] step=1130/1500 | epoch=0.7533 | elapsed=207.6m | eta=68.0m | steps_per_sec=0.0907 | loss=0.011212 | lr=1.52e-05 | grad_norm=0.1504
[TRAIN_LOG] step=1140/1500 | epoch=0.7600 | elapsed=209.4m | eta=66.1m | steps_per_sec=0.0907 | loss=0.010892 | lr=1.44e-05 | grad_norm=0.2832
[TRAIN_LOG] step=1150/1500 | epoch=0.7667 | elapsed=211.3m | eta=64.3m | steps_per_sec=0.0907 | loss=0.011585 | lr=1.37e-05 | grad_norm=0.2041
[TRAIN_LOG] step=1160/1500 | epoch=0.7733 | elapsed=213.1m | eta=62.5m | steps_per_sec=0.0907 | loss=0.008205 | lr=1.30e-05 | grad_norm=0.0513
[TRAIN_LOG] step=1170/1500 | epoch=0.7800 | elapsed=214.9m | eta=60.6m | steps_per_sec=0.0907 | loss=0.009846 | lr=1.22e-05 | grad_norm=0.2871
[TRAIN_LOG] step=1180/1500 | epoch=0.7867 | elapsed=216.8m | eta=58.8m | steps_per_sec=0.0907 | loss=0.009303 | lr=1.15e-05 | grad_norm=0.1118
[TRAIN_LOG] step=1190/1500 | epoch=0.7933 | elapsed=218.6m | eta=57.0m | steps_per_sec=0.0907 | loss=0.013044 | lr=1.09e-05 | grad_norm=0.2168
[TRAIN_LOG] step=1200/1500 | epoch=0.8000 | elapsed=220.5m | eta=55.1m | steps_per_sec=0.0907 | loss=0.010934 | lr=1.02e-05 | grad_norm=0.1533
[TRAIN_LOG] step=1210/1500 | epoch=0.8067 | elapsed=222.3m | eta=53.3m | steps_per_sec=0.0907 | loss=0.009842 | lr=9.55e-06 | grad_norm=0.1426
[TRAIN_LOG] step=1220/1500 | epoch=0.8133 | elapsed=224.2m | eta=51.5m | steps_per_sec=0.0907 | loss=0.011368 | lr=8.92e-06 | grad_norm=0.2676
[TRAIN_LOG] step=1230/1500 | epoch=0.8200 | elapsed=226.0m | eta=49.6m | steps_per_sec=0.0907 | loss=0.010980 | lr=8.32e-06 | grad_norm=0.1660
[TRAIN_LOG] step=1240/1500 | epoch=0.8267 | elapsed=227.8m | eta=47.8m | steps_per_sec=0.0907 | loss=0.008902 | lr=7.73e-06 | grad_norm=0.1660
[TRAIN_LOG] step=1250/1500 | epoch=0.8333 | elapsed=229.7m | eta=45.9m | steps_per_sec=0.0907 | loss=0.010914 | lr=7.16e-06 | grad_norm=0.1445
[TRAIN_LOG] step=1260/1500 | epoch=0.8400 | elapsed=231.5m | eta=44.1m | steps_per_sec=0.0907 | loss=0.008659 | lr=6.62e-06 | grad_norm=0.1299
